programa,-1,-1,1
uno@,-55,-1,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
a&,-51,-2,3
,,-76,-1,3
b&,-51,-2,3
,,-76,-1,3
c&,-51,-2,3
;,-75,-1,3
inicio,-2,-1,4
leer,-4,-1,5
(,-73,-1,5
a,-51,-2,5
),-74,-1,5
;,-75,-1,5
b,-51,-2,6
=,-26,-1,6
10,-61,-1,6
;,-75,-1,6
c,-51,-2,7
=,-26,-1,7
30,-61,-1,7
;,-75,-1,7
si,-6,-1,8
(,-73,-1,8
a,-51,-2,8
<,-31,-1,8
b,-51,-2,8
),-74,-1,8
entonces,-16,-1,8
inicio,-2,-1,9
si,-6,-1,10
(,-73,-1,10
c,-51,-2,10
<,-31,-1,10
a,-51,-2,10
),-74,-1,10
entonces,-16,-1,10
inicio,-2,-1,11
c,-51,-2,12
=,-26,-1,12
(,-73,-1,12
(,-73,-1,12
a,-51,-2,12
*,-21,-1,12
b,-51,-2,12
),-74,-1,12
+,-24,-1,12
10,-61,-1,12
),-74,-1,12
*,-21,-1,12
40,-61,-1,12
;,-75,-1,12
escribir,-5,-1,13
(,-73,-1,13
a,-51,-2,13
),-74,-1,13
;,-75,-1,13
fin,-3,-1,14
fin,-3,-1,15
sino,-7,-1,16
inicio,-2,-1,17
si,-6,-1,18
(,-73,-1,18
a,-51,-2,18
<,-31,-1,18
c,-51,-2,18
),-74,-1,18
entonces,-16,-1,18
inicio,-2,-1,19
c,-51,-2,20
=,-26,-1,20
b,-51,-2,20
*,-21,-1,20
a,-51,-2,20
;,-75,-1,20
escribir,-5,-1,21
(,-73,-1,21
c,-51,-2,21
),-74,-1,21
;,-75,-1,21
fin,-3,-1,22
sino,-7,-1,23
inicio,-2,-1,24
b,-51,-2,25
=,-26,-1,25
c,-51,-2,25
*,-21,-1,25
a,-51,-2,25
;,-75,-1,25
escribir,-5,-1,26
(,-73,-1,26
b,-51,-2,26
),-74,-1,26
;,-75,-1,26
fin,-3,-1,27
fin,-3,-1,28
escribir,-5,-1,29
(,-73,-1,29
a,-51,-2,29
),-74,-1,29
;,-75,-1,29
fin,-3,-1,30
