programa,-1,-1,1
Ejemplo5@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
a&,-51,0,3
,,-76,-1,3
b&,-51,1,3
;,-75,-1,3
inicio,-2,-1,4
a,-51,-2,5
=,-26,-1,5
10,-61,-1,5
;,-75,-1,5
leer,-4,-1,5
(,-73,-1,5
b,-51,-2,5
),-74,-1,5
;,-75,-1,5
si,-6,-1,6
(,-73,-1,6
(,-73,-1,6
a,-51,-2,6
<,-31,-1,6
b,-51,-2,6
),-74,-1,6
and,-41,-1,6
(,-73,-1,6
b,-51,-2,6
>,-33,-1,6
50,-61,-1,6
),-74,-1,6
),-74,-1,6
entonces,-16,-1,6
inicio,-2,-1,7
b,-51,-2,8
=,-26,-1,8
a,-51,-2,8
*,-21,-1,8
10,-61,-1,8
*,-21,-1,8
5,-61,-1,8
+,-24,-1,8
20,-61,-1,8
;,-75,-1,8
fin,-3,-1,9
sino,-7,-1,10
inicio,-2,-1,11
a,-51,-2,12
=,-26,-1,12
(,-73,-1,12
b,-51,-2,12
*,-21,-1,12
50,-61,-1,12
/,-22,-1,12
3,-61,-1,12
),-74,-1,12
+,-24,-1,12
10,-61,-1,12
;,-75,-1,12
escribir,-5,-1,13
(,-73,-1,13
a,-51,-2,13
),-74,-1,13
;,-75,-1,13
fin,-3,-1,14
fin,-3,-1,15
