read,-4,-1,15
(,-73,-1,15
b,-15,-2,15
),-74,-1,15
;,-75,-1,15
a,-51,-2,16
=,-26,-1,16
20,-61,-1,16
;,-75,-1,16
mientras,-8,-1,17
(,-73,-1,17
a,-51,-2,17
>,-33,-1,17
b,-51,-2.17
),-74,-1,17
hacer,-17,-1,17
inicio,-2,-1,18
write,-5,-1,19
(,-73,-1,19
b,-51,-2,19
),-74,-1,19
;,-75,-1,19
z,-51,-2,20
=,-26,-1,20
(,-73,-1,20
a,-51,-2,20
*,-21,-1,20
b,-51,-2,20
),-74,-1,20
+,-24,-1,20
10,-61,-1,20
;,-75,-1,20
write,-5,-1,21
(,-73,-1,21
z,-51,-2,21
),-74,-1,21
;,-75,-1,21
read,-4,-1,22
(,-73,-1,22
b,-51,-2,22
),-74,-1,22
;,-75,-1,22
fin,-3,-1,23
write,-5,-1,24
(,-73,-1,24
b,-51,-2,24
),-74,-1,24
;,-75,-1,24
