programa,-1,-1,1
Ejemplo7@,-55,-2,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
a&,-51,0,3
,,-76,-1,3
b&,-51,1,3
,,-76,-1,3
z&,-51,1,3
;,-75,-1,3
inicio,-2,-1,4
read,-4,-1,5
(,-73,-1,5
b,-15,-2,5
),-74,-1,5
;,-75,-1,5
a,-51,-2,6
=,-26,-1,6
20,-61,-1,6
;,-75,-1,6
mientras,-8,-1,7
(,-73,-1,7
a,-51,-2,7
>,-33,-1,7
b,-51,-2.7
),-74,-1,7
hacer,-17,-1,7
inicio,-2,-1,8
write,-5,-1,9
(,-73,-1,9
b,-51,-2,9
),-74,-1,9
;,-75,-1,9
z,-51,-2,10
=,-26,-1,10
(,-73,-1,10
a,-51,-2,10
*,-21,-1,10
b,-51,-2,10
),-74,-1,10
+,-24,-1,10
10,-61,-1,10
;,-75,-1,10
write,-5,-1,11
(,-73,-1,11
z,-51,-2,11
),-74,-1,11
;,-75,-1,11
read,-4,-1,12
(,-73,-1,12
b,-51,-2,12
),-74,-1,12
;,-75,-1,12
fin,-3,-1,13
write,-5,-1,14
(,-73,-1,14
b,-51,-2,14
),-74,-1,14
;,-75,-1,14
