programa,-1,-1,1
Ejemplo10@,-55,-1,1
;,-75,-1,1
variables,-15,-1,2
entero,-11,-1,3
uno&,-51,-2,3
,,-75,-1,3
dos&,-51,-2,3
;,-75,-1,3
real,-12,-1,4
x%,-52,-2,4
,,-76,-1,4
y%,-52,-2,4
;,-75,-1,4
cadena,-13,-1,5
z$,-53,-2,5
,,-76,-1,5
cod$,-53,-2,5
;,-75,-1,5
inicio,-2,-1,6
leer,-4,-1,7
(,-73,-1,7
uno&,-51,-2,7
),-74,-1,7
;,-75,-1,7
dos&,-51,-2,8
=,-26,-1,8
27,-61,-1,8
;,-75,-1,8
mientras,-8,-1,9
(,-73,-1,9
uno&,-51,-2,9
<=,-32,-1,9
100,-61,-1,9
),-74,-1,9
hacer,-17,-1,9
inicio,-2,-1,10
escribir,-5,-1,11
(,-73,-1,11
uno&,-51,-2,11
),-74,-1,11
;,-75,-1,11
uno&,-51,-2,12
=,-26,-1,12
dos&,-51,-2,12
*,-21,-1,12
32,-61,-1,12
;,-75,-1,12
si,-6,-1,13
(,-73,-1,13
dos&,-51,-2,13
<=,-32,-1,13
uno&,-51,-2,13
),-74,-1,13
entonces,-16,-1,13
inicio,-2,-1,14
escribir,-5,-1,15
(,-73,-1,15
dos&,-51,-2,15
),-74,-1,15
;,-75,-1,15
fin,-3,-1,16
sino,-7,-1,17
inicio,-2,-1,18
x%,-52,-2,19
=,-26,-1,19
x%,-52,-2,19
+,-24,-1,19
37.5,-61,-1,19
*,-21,-1,19
y%,-52,-2,19
;,-75,-1,19
escribir,-5,-1,20
(,-73,-1,20
x%,-52,-2,20
),-74,-1,20
;,-75,-1,20
fin,-3,-1,21
fin,-3,-1,22
z$,-53,-2,23
=,-26,-1,23
"programa",-63,-1,23
;,-75,-1,23
escribir,-5,-1,24
(,-73,-1,24
z$,-53,-2,24
),-74,-1,24
;,-75,-1,24
fin,-3,-1,25
